DATE,PLANT,MATERIAL,RANKING
20210302,D080,10000050,1
20210302,D081,10000050,1
20210302,D081,10000906,1
20210302,D083,10000050,1
20210302,D085,10000050,1
20210302,D093,10000050,1
20210302,D098,10000050,1
20210302,D101,10000050,1
20210302,D101,10000069,1
20210302,D105,10000050,1
20210302,D105,10000906,1
20210302,D111,10000050,1
20210302,D111,10000906,1
20210302,D120,10000050,1
20210302,D136,10000000,1
20210302,D144,10000050,1
20210302,D145,10000050,1
20210302,D145,10000069,1
20210303,D074,10000050,1
20210303,D075,10000050,1
20210303,D077,10000050,1
20210303,D079,10000050,1
20210303,D079,10000906,1
20210303,D080,10000050,1
20210303,D081,10000050,1
20210303,D083,10000050,1
20210303,D083,10040465,1
20210303,D084,10000050,1
20210303,D085,10000050,1
20210303,D086,10000050,1
20210303,D086,10000069,1
20210303,D093,10000050,1
20210303,D098,10000050,1
20210303,D101,10000050,1
20210303,D105,10000050,1
20210303,D111,10000050,1
20210303,D111,10000906,1
20210303,D144,10000050,1
20210303,D145,10000050,1
20210303,D145,10000069,1
20210303,D677,10000050,1
20210304,D074,10000050,1
20210304,D075,10000050,1
20210304,D077,10000050,1
20210304,D079,10000050,1
20210304,D080,10000050,1
20210304,D081,10000050,1
20210304,D083,10000050,1
20210304,D085,10000050,1
20210304,D086,10000050,1
20210304,D086,10000069,1
20210304,D093,10000050,1
20210304,D098,10000050,1
20210304,D101,10000050,1
20210304,D101,10000069,1
20210304,D105,10000050,1
20210304,D111,10000906,1
20210304,D120,10000050,1
20210304,D120,10040465,1
20210304,D144,10000050,1
20210304,D145,10000050,1
20210304,D145,10000069,1
20210305,D074,10000050,1
20210305,D075,10000050,1
20210305,D077,10000050,1
20210305,D079,10000050,1
20210305,D079,10000906,1
20210305,D080,10000050,1
20210305,D081,10000050,1
20210305,D083,10000050,1
20210305,D084,10000050,1
20210305,D085,10000050,1
20210305,D086,10000050,1
20210305,D086,10000069,1
20210305,D093,10000050,1
20210305,D098,10000050,1
20210305,D101,10000050,1
20210305,D105,10000050,1
20210305,D105,10040465,1
20210305,D111,10000050,1
20210305,D111,10000906,1
20210305,D120,10000050,1
20210305,D141,10000050,1
20210305,D144,10000050,1
20210305,D145,10000050,1
20210305,D145,10000069,1
20210305,D677,10000050,1
20210306,D074,10000050,1
20210306,D075,10000050,1
20210306,D077,10000050,1
20210306,D079,10000050,1
20210306,D080,10000050,1
20210306,D081,10000050,1
20210306,D083,10000050,1
20210306,D084,10000050,1
20210306,D086,10000050,1
20210306,D086,10000069,1
20210306,D093,10000050,1
20210306,D098,10000050,1
20210306,D101,10000050,1
20210306,D101,10000069,1
20210306,D105,10000906,1
20210306,D111,10000050,1
20210306,D120,10000050,1
20210306,D144,10000050,1
20210306,D145,10000050,1
20210306,D145,10000069,1
20210308,D074,10000050,1
20210308,D075,10000050,1
